date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:18	71292/71292	---M-Z	200	added ('OK')	text/css	etag:%221167c-6579d097-9c6d84f5a2d89a99;gz%22	https://maantradingacademy.com/wp-content/plugins/ht-mega-for-elementor/assets/css/animation.css?ver=2.4.0	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/ht-mega-for-elementor/assets/css/animation8d5a.css	(from https://maantradingacademy.com/lp/)
19:47:18	4730/4730	---M-Z	200	added ('OK')	text/css	etag:%22127a-6579d097-ea07957e94f22d46;gz%22	https://maantradingacademy.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-keyframes.css?ver=2.4.0	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/ht-mega-for-elementor/assets/css/htmega-keyframes8d5a.css	(from https://maantradingacademy.com/lp/)
19:47:18	10438/10438	---M-Z	200	added ('OK')	text/css	etag:%2228c6-6579d097-5eb15282b3e8476a;gz%22	https://maantradingacademy.com/wp-content/plugins/ht-mega-for-elementor/assets/extensions/ht-builder/css/htbuilder.css?ver=2.4.0	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/ht-mega-for-elementor/assets/extensions/ht-builder/css/htbuilder8d5a.css	(from https://maantradingacademy.com/lp/)
19:47:18	2277/2277	---M-Z	200	added ('OK')	text/css	etag:%228e5-6579d097-58d458c82d5b036d;gz%22	https://maantradingacademy.com/wp-content/plugins/ht-mega-for-elementor/assets/extensions/wc-sales-notification/css/wc_notification.css?ver=2.4.0	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/ht-mega-for-elementor/assets/extensions/wc-sales-notification/css/wc_notification8d5a.css	(from https://maantradingacademy.com/lp/)
19:47:18	20911/20911	---M-Z	200	added ('OK')	text/css	etag:%2251af-64af628b-fb6a8056a9c9bf19;gz%22	https://maantradingacademy.com/wp-content/themes/kadence/assets/css/global.min.css?ver=1.1.40	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/themes/kadence/assets/css/global.min1cbb.css	(from https://maantradingacademy.com/lp/)
19:47:19	27994/27994	---M-Z	200	added ('OK')	text/css	etag:%226d5a-64af628b-892033a29acacf4f;gz%22	https://maantradingacademy.com/wp-content/themes/kadence/assets/css/header.min.css?ver=1.1.40	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/themes/kadence/assets/css/header.min1cbb.css	(from https://maantradingacademy.com/lp/)
19:47:19	33386/33386	---M-Z	200	added ('OK')	text/css	etag:%22826a-64af628b-2346a588dc7263f9;gz%22	https://maantradingacademy.com/wp-content/themes/kadence/assets/css/content.min.css?ver=1.1.40	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/themes/kadence/assets/css/content.min1cbb.css	(from https://maantradingacademy.com/lp/)
19:47:19	156251/156251	---M-Z	200	added ('OK')	text/css	etag:%222625b-64af628b-9bf119dbc8936f0e;gz%22	https://maantradingacademy.com/wp-content/themes/kadence/assets/css/woocommerce.min.css?ver=1.1.40	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/themes/kadence/assets/css/woocommerce.min1cbb.css	(from https://maantradingacademy.com/lp/)
19:47:19	18985/18985	---M-Z	200	added ('OK')	text/css	etag:%224a29-64af628b-bf51b7fda1e086cd;gz%22	https://maantradingacademy.com/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.1.40	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/themes/kadence/assets/css/footer.min1cbb.css	(from https://maantradingacademy.com/lp/)
19:47:20	124837/124837	---M-Z	200	added ('OK')	text/css	etag:%221e7a5-65803c0f-8e2e6348a7422ed6;gz%22	https://maantradingacademy.com/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons.css?ver=3.0.4	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons459e.css	(from https://maantradingacademy.com/lp/)
